_id,no,evseId,connectorId,tariffId,siteId,idTag,meterStart,meterStop,cost,userCost,begin,end,id,userId,energyDelivered,finishedAt,lastUpdated,chargingTime
67df45afc1cf68c4cbfe4da3,11059,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,05C05549,130807,130832,0.003,0.003,2023-03-06T12:24:04.045Z,2023-03-06T12:24:36.620Z,6405db64e338290014900959,5f92f8a6aaafd5300493b6d0,0.025,2023-03-06T15:48:54.504Z,,
67df45afc1cf68c4cbfe4da4,11060,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,05C05549,130936,130962,0.003,0.003,2023-03-06T12:41:31.242Z,2023-03-06T12:42:03.889Z,6405df7be3382900149009d9,5f92f8a6aaafd5300493b6d0,0.026,2023-03-06T15:48:54.591Z,,
67df45afc1cf68c4cbfe4da5,11061,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,05C05549,130962,131008,0.005,0.005,2023-03-06T16:02:25.771Z,2023-03-06T16:03:21.262Z,64060e913e88426b00480247,5f92f8a6aaafd5300493b6d0,0.046,2023-03-06T16:25:34.262Z,,
67df45afc1cf68c4cbfe4da6,11062,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,05C05549,131008,131127,0.012,0.012,2023-03-06T16:05:17.733Z,2023-03-06T16:07:35.064Z,64060f3d3e88426b0048024f,5f92f8a6aaafd5300493b6d0,0.119,2023-03-06T16:25:34.349Z,,
67df45afc1cf68c4cbfe4da7,11063,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,05C05549,131127,131264,0.014,0.014,2023-03-06T16:09:36.149Z,2023-03-06T16:12:27.790Z,64061040f7b2603b402e7ad5,5f92f8a6aaafd5300493b6d0,0.137,2023-03-10T09:38:59.431Z,,
67df45afc1cf68c4cbfe4da8,11064,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,05C05549,131264,131344,0.008,0.008,2023-03-06T16:12:37.760Z,2023-03-06T16:14:35.790Z,640610f5773c066ebcf2156d,5f92f8a6aaafd5300493b6d0,0.08,2023-03-10T09:38:59.434Z,,
67df45afc1cf68c4cbfe4da9,11065,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,05C05549,131344,133545,,,2023-03-13T14:13:52.002Z,2023-03-13T14:13:52.499Z,640f2fa0c313db00180694f0,5f92f8a6aaafd5300493b6d0,2.201,2023-03-16T15:52:01.192Z,,
67df45afc1cf68c4cbfe4daa,11066,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,B333E6AD,133545,133551,,,2023-03-13T14:25:13.570Z,2023-03-13T14:25:30.406Z,640f3249c313db0018069507,640f0585c313db0018069244,0.006,2023-03-16T15:52:01.194Z,,
67df45afc1cf68c4cbfe4dab,11067,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,B333E6AD,133551,133551,,,2023-03-13T14:25:37.150Z,2023-03-13T14:25:44.006Z,640f3261c313db001806950c,640f0585c313db0018069244,0,2023-03-16T15:52:01.197Z,,
67df45afc1cf68c4cbfe4dac,11068,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,76223892,133551,133552,,,2023-03-13T14:25:59.945Z,2023-03-13T14:26:08.835Z,640f3277c313db0018069511,640f0585c313db0018069244,0.001,2023-03-16T15:52:01.200Z,,
67df45afc1cf68c4cbfe4dad,11069,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,C57C5849,133552,140323,0.687,0.687,2023-03-13T14:26:21.237Z,2023-03-13T17:26:40.495Z,640f328dc313db0018069516,640f0585c313db0018069244,6.771,2023-03-16T15:52:01.204Z,,
67df45afc1cf68c4cbfe4dae,11070,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,C57C5849,140323,146417,-1.977,-1.977,2023-04-03T16:50:14.522Z,2023-04-03T18:41:03.278Z,642b03c641976400185c972c,640f0585c313db0018069244,6.094,2023-04-05T09:50:02.437Z,,
67df45afc1cf68c4cbfe4daf,11073,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,B333E6AD,146417,153637,0.733,0.733,2023-04-07T14:10:14.745Z,2023-04-07T17:12:02.936Z,643024468948210012dd7c23,640f0585c313db0018069244,7.22,2023-04-17T16:10:41.780Z,,
67df45afc1cf68c4cbfe4db0,11074,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,B5485549,153637,156518,0.292,0.292,2023-04-18T16:24:07.425Z,2023-04-18T17:14:55.588Z,643ec42733af020012738a9a,643d70b933af02001273760d,2.881,2023-04-27T08:28:32.378Z,,
67df45afc1cf68c4cbfe4db1,11075,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,B5485549,156518,161359,-2.388,-2.388,2023-04-20T17:29:31.014Z,2023-04-20T18:55:47.430Z,6441767b33af02001273b427,643d70b933af02001273760d,4.841,2023-04-27T08:28:32.468Z,,
67df45afc1cf68c4cbfe4db2,11076,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,B333E6AD,161359,167990,0.769,0.769,2023-04-26T08:59:49.751Z,2023-04-26T14:03:04.116Z,6448e80533af0200127428dd,640f0585c313db0018069244,6.631,2023-04-27T08:28:32.557Z,,
67df45afc1cf68c4cbfe4db3,11093,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,B5485549,167990,168004,0.001,0.001,2023-04-28T14:08:32.296Z,2023-04-28T14:09:32.536Z,644bd3600fce6e6858454cae,643d70b933af02001273760d,0.014,2023-04-28T15:40:28.117Z,,
67df45afc1cf68c4cbfe4db4,11094,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,B333E6AD,168004,169296,0.155,0.155,2023-05-02T08:16:22.441Z,2023-05-02T08:39:24.108Z,6450c6d6cf6be1414c2c2c1a,640f0585c313db0018069244,1.292,2023-05-02T10:04:26.713Z,,
67df45afc1cf68c4cbfe4db5,11095,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,B333E6AD,169296,169597,0.036,0.036,2023-05-02T08:40:03.289Z,2023-05-02T08:45:32.949Z,6450cc6370332c2a04301f37,640f0585c313db0018069244,0.301,2023-05-02T10:04:26.810Z,,
67df45afc1cf68c4cbfe4db6,11096,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,B333E6AD,169598,169746,0.018,0.018,2023-05-02T08:45:47.420Z,2023-05-02T08:48:34.407Z,6450cdbb3d0ad372c415d8b8,640f0585c313db0018069244,0.148,2023-05-02T10:04:26.905Z,,
67df45afc1cf68c4cbfe4db7,11097,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,B333E6AD,169746,170087,0.041,0.041,2023-05-02T08:49:21.872Z,2023-05-02T08:55:32.892Z,6450ce9161d5a161000f6d37,640f0585c313db0018069244,0.341,2023-05-02T10:04:27.002Z,,
67df45afc1cf68c4cbfe4db8,11098,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,B333E6AD,170087,170654,0.068,0.068,2023-05-02T08:57:10.176Z,2023-05-02T09:07:24.373Z,6450d066b216251278bd3a24,640f0585c313db0018069244,0.567,2023-05-02T10:04:27.101Z,,
67df45afc1cf68c4cbfe4db9,11099,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,B333E6AD,170654,170775,0.015,0.015,2023-05-02T09:09:13.633Z,2023-05-02T09:11:31.816Z,6450d339c7919e0ce81f9d4b,640f0585c313db0018069244,0.121,2023-05-02T10:04:27.198Z,,
67df45afc1cf68c4cbfe4dba,11100,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,B333E6AD,170775,171381,0.073,0.073,2023-05-02T09:11:53.102Z,2023-05-02T09:22:44.957Z,6450d3d99e5977045cfa3af0,640f0585c313db0018069244,0.606,2023-05-02T10:04:27.293Z,,
67df45afc1cf68c4cbfe4dbb,11101,63f7a0792bb4b7001231f198,1,601adcb1a8ba4141042532c2,63722d1ffaf87162cc48fe46,B333E6AD,171381,174998,3.622,3.622,2023-05-02T09:22:52.809Z,2023-05-02T15:12:36.146Z,6450d66cc8524774bcedf5bd,640f0585c313db0018069244,3.617,2023-05-02T15:12:37.354Z,2023-05-02T15:12:37.354Z,2023-05-02T15:12:37.354Z
